,movieId,genres
1,2,Adventure|Children|Fantasy
217,253,Drama|Horror
2941,3949,Drama
2353,3114,Adventure|Animation|Children|Comedy|Fantasy
134,161,Drama|Thriller|War
3002,4022,Drama
472,539,Comedy|Drama|Romance
4070,5816,Adventure|Fantasy
287,329,Adventure|Drama|Sci-Fi
1437,1961,Drama
1729,2324,Comedy|Drama|Romance|War
1066,1387,Action|Horror
957,1259,Adventure|Drama
6993,68157,Action|Drama|War
5156,8368,Adventure|Fantasy|IMAX
315,357,Comedy|Romance
3979,5618,Adventure|Animation|Fantasy
6314,48780,Drama|Mystery|Sci-Fi|Thriller
6726,59315,Action|Adventure|Sci-Fi
3006,4027,Adventure|Comedy|Crime
686,904,Mystery|Thriller
701,919,Adventure|Children|Fantasy|Musical
395,454,Drama|Thriller
1321,1784,Comedy|Drama|Romance
1153,1517,Action|Adventure|Comedy
1043,1356,Action|Adventure|Sci-Fi|Thriller
7195,72998,Action|Adventure|Sci-Fi|IMAX
819,1080,Comedy
1210,1610,Action|Adventure|Thriller
2030,2706,Comedy|Romance
504,586,Children|Comedy
1796,2396,Comedy|Drama|Romance
2248,2987,Adventure|Animation|Children|Comedy|Crime|Fantasy|Mystery
253,292,Action|Drama|Sci-Fi|Thriller
35,39,Comedy|Romance
156,185,Action|Crime|Thriller
92,104,Comedy
944,1246,Drama
1242,1653,Drama|Sci-Fi|Thriller
297,339,Comedy|Romance
2102,2797,Comedy|Drama|Fantasy|Romance
2096,2791,Comedy
919,1219,Crime|Horror
176,208,Action|Adventure|Sci-Fi
483,551,Animation|Children|Fantasy|Musical
5150,8360,Adventure|Animation|Children|Comedy|Musical|Romance
1004,1307,Comedy|Romance
5834,32587,Action|Crime|Film-Noir|Mystery|Thriller
1756,2355,Adventure|Animation|Children|Comedy
4345,6365,Action|Adventure|Sci-Fi|Thriller|IMAX
15,16,Crime|Drama
2192,2916,Action|Adventure|Sci-Fi|Thriller
945,1247,Comedy|Drama|Romance
2903,3897,Drama
920,1220,Action|Comedy|Musical
6329,49272,Action|Adventure|Thriller
925,1225,Drama
1627,2174,Comedy|Fantasy
3740,5218,Adventure|Animation|Children|Comedy
4170,6016,Action|Adventure|Crime|Drama|Thriller
2940,3948,Comedy
20,21,Comedy|Crime|Thriller
6294,48394,Drama|Fantasy|Thriller
5324,8874,Comedy|Horror
378,434,Action|Adventure|Thriller
1072,1393,Drama|Romance
1485,2011,Adventure|Comedy|Sci-Fi
7750,91529,Action|Adventure|Crime|IMAX
5250,8636,Action|Adventure|Sci-Fi|IMAX
116,141,Comedy
2019,2692,Action|Crime
1186,1584,Drama|Sci-Fi
6517,54286,Action|Crime|Thriller
6225,46578,Adventure|Comedy|Drama
902,1201,Action|Adventure|Western
4522,6711,Comedy|Drama|Romance
249,288,Action|Crime|Thriller
1486,2012,Adventure|Comedy|Sci-Fi|Western
55,62,Drama
1703,2291,Drama|Fantasy|Romance
6416,51662,Action|Fantasy|War|IMAX
2027,2700,Animation|Comedy|Musical
8358,109487,Sci-Fi|IMAX
3827,5378,Action|Adventure|Sci-Fi|IMAX
295,337,Drama
2300,3052,Adventure|Comedy|Fantasy
260,300,Drama
1223,1625,Drama|Mystery|Thriller
5259,8665,Action|Crime|Thriller
4328,6333,Action|Adventure|Sci-Fi|Thriller
1397,1917,Action|Romance|Sci-Fi|Thriller
8045,99114,Action|Drama|Western
705,923,Drama|Mystery
511,594,Animation|Children|Drama|Fantasy|Musical
6388,50872,Animation|Children|Drama
818,1079,Comedy|Crime
2802,3751,Animation|Children|Comedy
785,1028,Children|Comedy|Fantasy|Musical
7026,69122,Comedy|Crime
24,25,Drama|Romance
976,1278,Comedy|Fantasy
1474,2000,Action|Comedy|Crime|Drama
2601,3481,Comedy|Drama|Romance
838,1101,Action|Romance
3012,4034,Crime|Drama|Thriller
1971,2617,Action|Adventure|Comedy|Fantasy|Horror|Thriller
1916,2542,Comedy|Crime|Thriller
6045,40815,Adventure|Fantasy|Thriller|IMAX
6868,63082,Crime|Drama|Romance
7241,74458,Drama|Mystery|Thriller
383,440,Comedy|Romance
2391,3175,Adventure|Comedy|Sci-Fi
5880,33493,Action|Adventure|Sci-Fi
7675,89745,Action|Adventure|Sci-Fi|IMAX
1260,1676,Action|Sci-Fi
1070,1391,Action|Comedy|Sci-Fi
986,1288,Comedy
4787,7147,Drama|Fantasy|Romance
3162,4262,Action|Crime|Drama
5955,35836,Comedy|Romance
355,410,Children|Comedy|Fantasy
1180,1573,Action|Crime|Drama|Thriller
276,317,Comedy|Drama|Fantasy
326,368,Adventure|Comedy|Western
412,474,Action|Thriller
201,235,Comedy|Drama
33,36,Crime|Drama
10,11,Comedy|Drama|Romance
1644,2194,Action|Crime|Drama
933,1234,Comedy|Crime
2978,3994,Drama|Sci-Fi
84,95,Action|Adventure|Thriller
16,17,Drama|Romance
6313,48774,Action|Adventure|Drama|Sci-Fi|Thriller
6204,45722,Action|Adventure|Fantasy
792,1035,Musical|Romance
828,1090,Drama|War
3623,4979,Comedy|Drama
385,442,Action|Adventure|Sci-Fi
6596,55820,Crime|Drama
4631,6934,Action|Adventure|Sci-Fi|Thriller|IMAX
950,1252,Crime|Film-Noir|Mystery|Thriller
485,553,Action|Drama|Western
2543,3408,Drama
486,555,Crime|Thriller
900,1199,Fantasy|Sci-Fi
7073,70286,Mystery|Sci-Fi|Thriller
1430,1954,Drama
6621,56367,Comedy|Drama|Romance
1001,1304,Action|Western
2729,3671,Comedy|Western
6405,51255,Action|Comedy|Crime|Mystery
974,1276,Drama
4786,7143,Action|Adventure|Drama|War
685,903,Drama|Mystery|Romance|Thriller
18,19,Comedy
907,1207,Drama
8457,112852,Action|Adventure|Sci-Fi
443,508,Drama
690,908,Action|Adventure|Mystery|Romance|Thriller
904,1203,Drama
2246,2985,Action|Crime|Drama|Sci-Fi|Thriller
4350,6373,Comedy|Drama|Fantasy|Romance
3152,4246,Comedy|Drama|Romance
136,163,Action|Romance|Western
2804,3753,Action|Drama|War
7449,81845,Drama
733,953,Children|Drama|Fantasy|Romance
1754,2353,Action|Thriller
1056,1374,Action|Adventure|Sci-Fi|Thriller
1052,1370,Action|Adventure|Thriller
1073,1394,Comedy
311,353,Action|Crime|Fantasy|Thriller
229,266,Drama|Romance|War|Western
4402,6502,Action|Horror|Sci-Fi
1544,2081,Animation|Children|Comedy|Musical|Romance
2552,3421,Comedy
7001,68358,Action|Adventure|Sci-Fi|IMAX
867,1148,Animation|Children|Comedy|Crime
7338,78499,Adventure|Animation|Children|Comedy|Fantasy|IMAX
7061,69844,Adventure|Fantasy|Mystery|Romance|IMAX
2592,3471,Adventure|Drama|Sci-Fi
1134,1485,Comedy
929,1230,Comedy|Romance
4600,6863,Comedy|Musical
1082,1407,Comedy|Horror|Mystery|Thriller
6505,54001,Adventure|Drama|Fantasy|IMAX
622,788,Comedy|Fantasy|Romance|Sci-Fi
7197,73017,Action|Crime|Mystery|Thriller
2637,3535,Crime|Horror|Mystery|Thriller
4636,6942,Comedy|Drama|Romance
7396,80463,Drama
1985,2640,Action|Adventure|Sci-Fi
4007,5669,Documentary
2632,3527,Action|Sci-Fi|Thriller
2109,2804,Children|Comedy
6293,48385,Comedy
455,520,Comedy
1686,2268,Crime|Drama|Thriller
6613,56174,Action|Horror|Sci-Fi|Thriller|IMAX
444,509,Drama|Romance
855,1127,Action|Adventure|Sci-Fi|Thriller
2324,3081,Fantasy|Horror|Mystery|Romance
5253,8641,Comedy
44,48,Animation|Children|Drama|Musical|Romance
1062,1380,Comedy|Musical|Romance
6058,41566,Adventure|Children|Fantasy
4355,6378,Action|Crime
1904,2529,Action|Drama|Sci-Fi
1145,1500,Comedy|Crime|Romance
5255,8644,Action|Adventure|Sci-Fi|Thriller
6520,54503,Comedy
1726,2321,Comedy|Drama|Fantasy
2438,3253,Comedy
8287,106782,Comedy|Crime|Drama
1231,1641,Comedy|Drama
1996,2657,Comedy|Horror|Musical|Sci-Fi
7285,76093,Adventure|Animation|Children|Fantasy|IMAX
2696,3623,Action|Adventure|Thriller
513,596,Animation|Children|Fantasy|Musical
8673,122904,Action|Adventure|Comedy|Sci-Fi
915,1215,Action|Adventure|Comedy|Fantasy|Horror
2284,3033,Comedy|Sci-Fi
7137,71535,Action|Comedy|Horror
1959,2599,Comedy
2216,2947,Action|Adventure|Thriller
1479,2005,Action|Adventure|Children|Comedy|Fantasy
5922,34162,Comedy|Romance
1542,2078,Animation|Children|Comedy|Musical
3282,4447,Comedy|Romance
1471,1997,Horror|Mystery
1493,2019,Action|Adventure|Drama
8551,116797,Drama|Thriller|War
549,653,Action|Adventure|Fantasy
980,1282,Animation|Children|Fantasy|Musical
692,910,Comedy|Crime
5719,30707,Drama
3910,5502,Horror|Sci-Fi|Thriller
3456,4720,Drama|Horror|Mystery|Thriller
6341,49530,Action|Adventure|Crime|Drama|Thriller|War
484,552,Action|Adventure|Comedy|Romance
2650,3552,Comedy
621,786,Action|Drama|Thriller
1795,2395,Comedy|Drama
3191,4308,Drama|Musical|Romance
5938,34405,Action|Adventure|Sci-Fi
999,1302,Children|Drama|Fantasy
8354,109374,Comedy|Drama
2775,3717,Action|Crime
577,708,Comedy|Romance
3539,4848,Crime|Drama|Film-Noir|Mystery|Thriller
2962,3977,Action|Comedy
3785,5299,Comedy|Romance
7626,88125,Action|Adventure|Drama|Fantasy|Mystery|IMAX
2912,3911,Comedy
3005,4025,Comedy|Crime
1622,2167,Action|Horror|Thriller
5869,33166,Crime|Drama
1123,1466,Crime|Drama
3147,4239,Crime|Drama
1208,1608,Action|Thriller
5895,33679,Action|Adventure|Comedy|Romance
2006,2671,Comedy|Romance
905,1204,Adventure|Drama|War
4135,5956,Crime|Drama
3490,4776,Crime|Drama|Thriller
62,70,Action|Comedy|Horror|Thriller
308,350,Drama|Mystery|Thriller
2380,3160,Drama
4604,6870,Crime|Drama|Mystery
6471,53125,Action|Adventure|Comedy|Fantasy
1712,2302,Comedy
8861,134130,Adventure|Drama|Sci-Fi
1318,1777,Comedy|Romance
681,899,Comedy|Musical|Romance
3641,5010,Action|Drama|War
1939,2572,Comedy|Romance
7937,96079,Action|Adventure|Thriller|IMAX
2258,3000,Action|Adventure|Animation|Drama|Fantasy
6464,52973,Comedy|Drama|Romance
3520,4816,Comedy
291,333,Comedy
4159,5995,Drama|War
7448,81834,Action|Adventure|Fantasy|IMAX
1521,2054,Adventure|Children|Comedy|Fantasy|Sci-Fi
1543,2080,Animation|Children|Comedy|Romance
599,745,Animation|Children|Comedy
3229,4370,Adventure|Drama|Sci-Fi
1805,2406,Action|Adventure|Comedy|Romance
1480,2006,Action|Comedy|Romance
1230,1639,Comedy|Drama|Romance
6743,59784,Action|Animation|Children|Comedy|IMAX
7749,91500,Action|Adventure|Drama|Sci-Fi|Thriller
948,1250,Adventure|Drama|War
3898,5481,Comedy
964,1266,Drama|Western
1163,1544,Action|Adventure|Sci-Fi|Thriller
192,225,Drama|Thriller
695,913,Film-Noir|Mystery
1304,1748,Adventure|Film-Noir|Sci-Fi|Thriller
2035,2712,Drama|Mystery|Thriller
5722,30793,Adventure|Children|Comedy|Fantasy|IMAX
4155,5991,Comedy|Crime|Drama|Musical
1374,1884,Adventure|Comedy|Drama
5721,30749,Drama|War
1059,1377,Action|Crime
1540,2076,Drama|Mystery|Thriller
2460,3275,Action|Crime|Drama|Thriller
6905,64614,Crime|Drama
4111,5902,Comedy|Drama|Romance
3668,5060,Comedy|Drama|War
1857,2470,Adventure|Comedy
1401,1921,Drama|Sci-Fi|Thriller
1045,1358,Drama
3880,5459,Action|Comedy|Sci-Fi
8663,122882,Action|Adventure|Sci-Fi|Thriller
1170,1552,Action|Adventure|Thriller
973,1275,Action|Adventure|Fantasy
2034,2710,Drama|Horror|Thriller
2604,3489,Adventure|Comedy|Fantasy
5291,8784,Comedy|Drama|Romance
328,370,Action|Comedy
960,1262,Action|Adventure|Drama|War
1294,1729,Crime|Drama|Thriller
1700,2288,Action|Horror|Sci-Fi|Thriller
1601,2144,Comedy|Romance
5190,8464,Comedy|Documentary|Drama
8420,111759,Action|Sci-Fi|IMAX
2078,2763,Action|Mystery
6241,47099,Drama
6192,45499,Action|Sci-Fi|Thriller
131,158,Adventure|Children
1235,1645,Drama|Mystery|Thriller
3885,5464,Crime|Drama
6,7,Comedy|Romance
404,466,Action|Comedy|War
6780,60684,Action|Drama|Mystery|Sci-Fi|Thriller|IMAX
940,1242,Drama|War
6659,57669,Comedy|Crime|Drama|Thriller
4112,5903,Action|Sci-Fi|Thriller
2,3,Comedy|Romance
2998,4018,Comedy|Romance
2610,3499,Drama|Horror|Thriller
551,661,Adventure|Animation|Children|Fantasy|Musical
932,1233,Action|Drama|War
928,1228,Drama
885,1183,Drama|Romance|War
4858,7293,Comedy|Romance
1566,2105,Action|Adventure|Sci-Fi
2173,2890,Action|Adventure|Comedy|Drama|War
4842,7254,Drama|Sci-Fi|Thriller
3358,4571,Adventure|Comedy|Sci-Fi
140,168,Action|Drama|Romance
6513,54272,Animation|Comedy
2994,4014,Drama|Romance
2512,3363,Comedy|Drama
118,145,Action|Comedy|Crime|Drama|Thriller
145,173,Action|Crime|Sci-Fi
5294,8798,Action|Crime|Drama|Thriller
7307,77561,Action|Adventure|Sci-Fi|Thriller|IMAX
384,441,Comedy
961,1263,Drama|War
4939,7458,Action|Adventure|Drama|War
133,160,Action|Adventure|Mystery|Sci-Fi
434,497,Comedy|Romance
702,920,Drama|Romance|War
8882,134853,Adventure|Animation|Children|Comedy|Drama|Fantasy
2392,3176,Drama|Mystery|Thriller
2576,3448,Comedy|Drama|War
3826,5377,Comedy|Drama|Romance
5777,31658,Adventure|Animation|Fantasy|Romance
184,216,Comedy
7378,79702,Action|Comedy|Fantasy|Musical|Romance
225,261,Drama
7602,87232,Action|Adventure|Sci-Fi|Thriller|War
99,112,Action|Adventure|Comedy|Crime
6259,47610,Drama|Fantasy|Mystery|Romance
6239,46976,Comedy|Drama|Fantasy|Romance
2761,3703,Action|Adventure|Sci-Fi|Thriller
1468,1994,Horror|Thriller
1389,1907,Adventure|Animation|Children|Comedy|Drama|Musical|Romance
1443,1967,Adventure|Fantasy|Musical
364,420,Action|Comedy|Crime|Thriller
1075,1396,Action|Comedy|Crime|Drama|Sci-Fi
6563,55247,Action|Adventure|Drama
5682,27773,Mystery|Thriller
1562,2100,Comedy|Fantasy|Romance
1257,1673,Drama
1021,1333,Horror|Thriller
8528,115617,Action|Animation|Comedy
4574,6807,Comedy
2076,2761,Adventure|Animation|Children|Drama|Sci-Fi
8665,122886,Action|Adventure|Fantasy|Sci-Fi|IMAX
5915,34048,Action|Adventure|Sci-Fi|Thriller
375,431,Crime|Drama
7289,76251,Action|Comedy
202,236,Action|Comedy|Romance
3047,4085,Action|Comedy|Crime|Drama
618,783,Animation|Children|Drama|Musical|Romance
124,151,Action|Drama|Romance|War
2440,3255,Comedy|Drama
5213,8529,Comedy|Drama|Romance
1823,2424,Comedy|Romance
422,485,Action|Adventure|Comedy|Fantasy
5988,37729,Animation|Comedy|Fantasy|Musical|Romance
463,529,Drama
1945,2580,Comedy|Crime
1616,2161,Adventure|Children|Fantasy
7058,69757,Comedy|Drama|Romance
1871,2490,Action|Thriller
2916,3916,Drama
2220,2951,Action|Western
2021,2694,Comedy
630,802,Drama|Romance
8448,112552,Drama
527,616,Animation|Children
1670,2248,Comedy|Drama|Romance
6191,45447,Drama|Mystery|Thriller
983,1285,Comedy
2231,2968,Adventure|Comedy|Fantasy|Sci-Fi
7439,81591,Drama|Thriller
8035,98809,Adventure|Fantasy|IMAX
379,435,Comedy|Sci-Fi
5151,8361,Action|Adventure|Drama|Sci-Fi|Thriller
28,29,Adventure|Drama|Fantasy|Mystery|Sci-Fi
6729,59369,Action|Crime|Drama|Thriller
6138,44199,Crime|Drama|Thriller
7784,92259,Comedy|Drama
1692,2278,Action|Crime|Thriller
619,784,Comedy|Thriller
5355,8950,Drama|Mystery|Thriller
1497,2023,Crime|Drama|Mystery|Thriller
1548,2085,Adventure|Animation|Children
1429,1953,Action|Crime|Thriller
5856,33004,Adventure|Comedy|Sci-Fi
3619,4975,Mystery|Romance|Sci-Fi|Thriller
4,5,Comedy
4013,5679,Horror|Mystery|Thriller
830,1092,Crime|Mystery|Thriller
1701,2289,Comedy|Crime|Drama
2511,3362,Crime|Drama
1083,1408,Action|Romance|War|Western
1475,2001,Action|Comedy|Crime|Drama
1058,1376,Adventure|Comedy|Sci-Fi
2026,2699,Comedy|Horror
52,58,Comedy|Drama|Romance
4755,7090,Action|Adventure|Drama
216,252,Comedy|Romance
1986,2641,Action|Sci-Fi
2476,3301,Comedy|Crime
1008,1320,Action|Horror|Sci-Fi|Thriller
6708,58998,Comedy|Romance
1549,2087,Animation|Children|Fantasy|Musical
6046,40819,Drama|Musical|Romance
4145,5971,Animation|Children|Drama|Fantasy
7758,91658,Drama|Thriller
6153,44665,Crime|Drama|Mystery
4935,7451,Comedy
780,1022,Animation|Children|Fantasy|Musical|Romance
1258,1674,Drama|Romance|Thriller
2414,3210,Comedy|Drama|Romance
2824,3785,Comedy|Horror
972,1274,Action|Adventure|Animation|Sci-Fi
5354,8949,Comedy|Drama|Romance
1705,2294,Adventure|Animation|Children|Comedy|Fantasy
376,432,Adventure|Comedy|Western
1845,2455,Drama|Horror|Sci-Fi|Thriller
2290,3039,Comedy
1913,2539,Comedy
6136,44195,Comedy|Drama
1051,1367,Adventure|Children|Comedy
832,1094,Drama|Romance|Thriller
6592,55765,Crime|Drama|Thriller
191,224,Comedy|Drama|Romance
1390,1909,Action|Crime|Mystery|Sci-Fi|Thriller
2191,2915,Comedy
4633,6936,Children|Comedy|Fantasy
559,673,Adventure|Animation|Children|Comedy|Fantasy|Sci-Fi
8618,119145,Action|Adventure|Comedy|Crime
7752,91542,Action|Adventure|Comedy|Crime|Mystery|Thriller
2887,3868,Action|Comedy|Crime|Romance
2955,3967,Drama
5999,38061,Comedy|Crime|Mystery|Thriller
947,1249,Action|Crime|Romance|Thriller
5780,31685,Comedy|Romance
823,1084,Crime|Drama
409,471,Comedy
144,172,Action|Sci-Fi|Thriller
2803,3752,Adventure|Comedy
2550,3418,Adventure|Crime|Drama
5380,8984,Action|Comedy|Crime|Thriller
620,785,Comedy
877,1172,Drama
826,1088,Drama|Musical|Romance
696,914,Comedy|Drama|Musical|Romance
6411,51540,Crime|Drama|Thriller
2038,2717,Comedy|Fantasy|Sci-Fi
3133,4223,Drama|War
1806,2407,Comedy|Sci-Fi
1054,1372,Action|Mystery|Sci-Fi
1177,1569,Comedy|Romance
7354,79091,Animation|Children|Comedy|Crime
6148,44555,Drama|Romance|Thriller
2806,3755,Drama|Thriller
1660,2231,Drama
3167,4270,Action|Adventure|Comedy|Thriller
2475,3300,Horror|Sci-Fi|Thriller
4909,7373,Action|Adventure|Fantasy|Horror
6195,45517,Animation|Children|Comedy
684,902,Drama|Romance
431,494,Action|Adventure|Thriller
2189,2908,Drama
5212,8528,Comedy
1477,2003,Comedy|Horror
3228,4369,Action|Crime|Thriller
3454,4718,Comedy
7043,69481,Action|Drama|Thriller|War
1291,1722,Action|Adventure|Thriller
8449,112556,Drama|Thriller
797,1042,Comedy|Drama
959,1261,Action|Comedy|Fantasy|Horror
2996,4016,Adventure|Animation|Children|Comedy|Fantasy
1690,2273,Action|Comedy|Crime|Thriller
2884,3863,Drama|Horror|Thriller
1053,1371,Adventure|Sci-Fi
4419,6537,Action|Adventure|Sci-Fi
4239,6188,Comedy
2348,3108,Comedy|Drama|Fantasy|Romance
1057,1375,Action|Adventure|Sci-Fi
3185,4299,Action|Comedy|Romance
2739,3681,Action|Drama|Thriller|Western
658,852,Comedy|Drama|Romance
2390,3174,Comedy|Drama
6059,41569,Action|Adventure|Drama|Fantasy|Thriller
6819,61323,Comedy|Crime|Drama
970,1272,Drama|War
476,543,Comedy|Romance|Thriller
5217,8533,Drama|Romance
157,186,Comedy|Romance
942,1244,Comedy|Drama|Romance
1819,2420,Drama
2697,3624,Action|Adventure|Comedy|Western
4068,5810,Drama
5885,33615,Adventure|Animation|Children|Comedy
2217,2948,Action|Adventure|Thriller
789,1032,Adventure|Animation|Children|Fantasy|Musical
742,969,Adventure|Comedy|Romance|War
1476,2002,Action|Comedy|Crime|Drama
3409,4643,Action|Adventure|Drama|Sci-Fi
857,1129,Action|Adventure|Sci-Fi|Thriller
809,1059,Drama|Romance
985,1287,Action|Adventure|Drama
1643,2193,Action|Adventure|Fantasy
1615,2160,Drama|Horror|Thriller
244,282,Drama
6911,64957,Drama|Fantasy|Mystery|Romance
810,1060,Comedy|Drama
2760,3702,Action|Adventure|Sci-Fi
1370,1876,Drama|Sci-Fi|Thriller
6453,52722,Action|Adventure|Sci-Fi|Thriller|IMAX
4256,6218,Comedy|Drama|Romance
1274,1690,Action|Horror|Sci-Fi
1710,2300,Comedy
4640,6947,Adventure|Drama|War
6504,53996,Action|Sci-Fi|Thriller|IMAX
2066,2746,Comedy|Horror|Musical
228,265,Drama|Fantasy|Romance
5968,36529,Action|Crime|Drama|Thriller|War
2325,3082,Action|Adventure|Thriller
333,376,Action|Thriller
6948,66097,Animation|Fantasy|Thriller
303,345,Comedy|Drama
5245,8622,Documentary
1251,1663,Comedy|War
1915,2541,Drama
5724,30810,Adventure|Comedy|Fantasy
2510,3361,Comedy|Drama|Romance
1961,2605,Crime|Thriller
656,849,Action|Adventure|Sci-Fi|Thriller
633,805,Drama|Thriller
1492,2018,Animation|Children|Drama
533,628,Crime|Drama|Mystery|Thriller
965,1267,Crime|Thriller|War
3192,4310,Action|Drama|Romance|War
6997,68237,Drama|Mystery|Sci-Fi|Thriller
1556,2094,Action|Adventure|Sci-Fi
4931,7445,Action|Crime|Drama|Mystery|Thriller
2214,2944,Action|Drama|War
6910,64839,Drama
1495,2021,Adventure|Sci-Fi
4519,6708,Comedy|Crime|Drama
2285,3034,Adventure|Animation|Children|Comedy|Musical
2692,3617,Comedy
1198,1597,Drama|Mystery|Romance|Thriller
831,1093,Drama
558,671,Comedy|Sci-Fi
680,898,Comedy|Drama|Romance
1584,2124,Children|Comedy|Fantasy
9205,152081,Action|Adventure|Animation|Children|Comedy
210,246,Documentary
5371,8972,Action|Adventure|Drama|Mystery|Thriller
1393,1912,Comedy|Crime|Drama|Romance|Thriller
5725,30812,Drama
645,832,Crime|Thriller
7629,88163,Comedy|Drama|Romance
5163,8376,Comedy
2620,3510,Drama|Thriller
6912,64969,Comedy
2218,2949,Action|Adventure|Thriller
3671,5064,Action|Adventure|Drama|Thriller
7545,85414,Action|Drama|Mystery|Sci-Fi|Thriller
152,180,Comedy|Romance
1423,1947,Drama|Musical|Romance
239,277,Drama
6512,54259,Adventure|Comedy|Fantasy|Romance
5783,31696,Action|Fantasy|Horror|Thriller
6011,39183,Drama|Romance
30,31,Drama
6869,63113,Action|Adventure|Thriller
8972,139385,Adventure|Drama
6203,45720,Comedy|Drama
1597,2140,Adventure|Fantasy
